Id	Spelling	Transcription	IsKeyComponent
L02S08W00	Föräldrarna	 f ø̞ r . ˈ ɛ̝ lː . d r a . ɳ a 	1
L02S08W01	satt	 s ˈ a tː 	1
L02S08W02	på	 p ˈ oː 	0
L02S08W03	balkongen	 b a l . k ˈ ɔ ŋː . e̞ n 	1
L02S09W00	Tjejen	 ɕ ˈ ɛ̝ ʝː . e̞ n 	1
L02S09W01	tappade	 t ² a pː . a . d e̞ 	1
L02S09W02	boken	 b ˈ uː . k e̞ n 	1
L03S00W00	I	 ˈ iː 	0
L03S00W01	tallen	 t ˈ a lː . e̞ n 	1
L03S00W02	satt	 s ˈ a tː 	1
L03S00W03	en	 ˈ ɛ̝ nː 	0
L03S00W04	hackspett	 h ² a kː . s p ˌ ɛ̝ tː 	1
L03S01W00	Kvinnan	 k v ² ɪ nː . a n 	1
L03S01W01	missade	 m ² ɪ sː . a . d e̞ 	1
L03S01W02	barnens	 b ˈ ɑː . ɳ e̞ n s 	1
L03S01W03	pjäs	 p ʝ ˈ ɛː s 	1
L03S02W00	Han	 h ˈ a nː 	1
L03S02W01	försökte	 f ø̞ . ʂ ˈ øː k . t e̞ 	1
L03S02W02	lyfta	 l ² ʏ fː . t a 	1
L03S02W03	sju	 ɧ ˈ ʉː 	1
L03S02W04	kilo	 ɕ ˈ iː . l ʊ 	1
L03S03W00	Mormor	 m ² ʊ rː . m ˌ ʊ rː 	1
L03S03W01	ska	 s k ˈ ɑː 	0
L03S03W02	klippa	 k l ² ɪ pː . a 	1
L03S03W03	sig	 s ˈ ɛ̝ ʝː 	0
L03S03W04	på	 p ˈ oː 	0
L03S03W05	tisdag	 t ˈ iː s . d ɑ ɡ 	1
L03S04W00	Flickan	 f l ² ɪ kː . a n 	1
L03S04W01	brände	 b r ² ɛ̝ nː . d e̞ 	1
L03S04W02	sig	 s ˈ ɛ̝ ʝː 	0
L03S04W03	på	 p ˈ oː 	0
L03S04W04	ryggen	 r ˈ ʏ ɡː . e̞ n 	1
L03S05W00	Det	 d ˈ ɛː 	0
L03S05W01	gamla	 ɡ ² a mː . l a 	1
L03S05W02	bordet	 b ˈ uː . ɖ e̞ t 	1
L03S05W03	står	 s t ˈ oː r 	1
L03S05W04	på	 p ˈ oː 	0
L03S05W05	gården	 ɡ ˈ oː . ɖ e̞ n 	1
L03S06W00	Killen	 k ² ɪ lː . e̞ n 	1
L03S06W01	visslade	 v ² ɪ sː . l a . d e̞ 	1
L03S06W02	från	 f r ˈ oː n 	0
L03S06W03	balkongen	 b a l . k ˈ ɔ ŋː . e̞ n 	1
L03S07W00	Turisten	 t ʉ . r ˈ ɪ sː . t e̞ n 	1
L03S07W01	cyklade	 s ² ʏ kː . l a . d e̞ 	1
L03S07W02	över	 ˈ øː . v e̞ r 	0
L03S07W03	bron	 b r ˈ uː n 	1
L03S08W00	Pojken	 p ˈ ɔ ʝː . k e̞ n 	1
L03S08W01	startade	 s t ² a ʈː . a . d e̞ 	1
L03S08W02	en	 ˈ ɛ̝ nː 	0
L03S08W03	förening	 f ø̞ r . ˈ eː . n ɪ ŋ 	1
L03S09W00	Rummet	 r ˈ ɵ mː . e̞ t 	1
L03S09W01	har	 h ˈ ɑː r 	0
L03S09W02	tre	 t r ˈ eː 	1
L03S09W03	gula	 ɡ ² ʉː . l a 	1
L03S09W04	väggar	 v ² ɛ̝ ɡː . a r 	1
L04S00W00	Flickan	 f l ² ɪ kː . a n 	1
L04S00W01	ska	 s k ˈ ɑː 	0
L04S00W02	åka	 ² oː . k a 	1
L04S00W03	skridskor	 s k r ˈ ɪ sː . k ʊ r 	1
L04S00W04	idag	 ɪ . d ˈ ɑː ɡ 	1
L04S01W00	Mamma	 m ² a mː . a 	1
L04S01W01	slog	 s l ˈ uː ɡ 	1
L04S01W02	upp	 ˈ ɵ pː 	0
L04S01W03	tältet	 t ˈ ɛ̝ lː . t e̞ t 	1
L04S01W04	på	 p ˈ oː 	0
L04S01W05	ängen	 ˈ ɛ̝ ŋː . e̞ n 	1
L04S02W00	Eleven	 e̞ . l ˈ eː . v e̞ n 	1
L04S02W01	glömde	 ɡ l ² ø̞ mː . d e̞ 	1
L04S02W02	sin	 s ˈ ɪ nː 	0
L04S02W03	väska	 v ² ɛ̝ sː . k a 	1
L04S03W00	Lillebror	 l ² ɪ lː . e̞ . b r ˌ uː r 	1
L04S03W01	förfrös	 f ø̞ r . f r ˈ øː s 	1
L04S03W02	vänstra	 v ² ɛ̝ nː . s t r a 	1
L04S03W03	stortån	 s t ² uː . ʈ ˌ oː n 	1
L04S04W00	Tåget	 t ˈ oː . ɡ e̞ t 	1
L04S04W01	stannade	 s t ² a nː . a . d e̞ 	1
L04S04W02	vid	 v ˈ iː d 	0
L04S04W03	perrong	 p e̞ . r ˈ ɔ ŋː 	1
L04S04W04	sju	 ɧ ˈ ʉː 	1
L04S05W00	Hon	 h ˈ ʊ nː 	1
L04S05W01	fick	 f ˈ ɪ kː 	0
L04S05W02	schampo	 ɧ ˈ a mː . p ʊ 	1
L04S05W03	i	 ˈ iː 	0
L04S05W04	ögonen	 ² øː . ɡ ɔ . n e̞ n 	1
L04S06W00	Pojken	 p ² ɔ ʝː . k e̞ n 	1
L04S06W01	föll	 f ˈ ø̞ lː 	1
L04S06W02	från	 f r ˈ oː n 	0
L04S06W03	trädet	 t r ˈ ɛː . d e̞ t 	1
L04S07W00	Damen	 d ˈ ɑː . m e̞ n 	1
L04S07W01	handlade	 h ² a nː d . l a . d e̞ 	1
L04S07W02	på	 p ˈ oː 	0
L04S07W03	torget	 t ˈ ɔ rː . ʝ e̞ t 	1
L04S08W00	Flickorna	 f l ² ɪ kː . ʊ . ɳ a 	1
L04S08W01	åkte	 ² oː k . t e̞ 	1
L04S08W02	karusell	 k a . r ʉ . s ˈ ɛ̝ lː 	1
L04S09W00	Pappa	 p ² a pː . a 	1
L04S09W01	bakar	 b ² ɑː . k a r 	1
L04S09W02	torra	 t ² ɔ rː . a 	1
L04S09W03	bullar	 b ² ɵ lː . a r 	1
L05S00W00	De	 d ˈ ɔ mː 	0
L05S00W01	svarta	 s v ² a ʈː . a 	1
L05S00W02	fåren	 f ˈ oː . r e̞ n 	1
L05S00W03	går	 ɡ ˈ oː r 	0
L05S00W04	på	 p ˈ oː 	0
L05S00W05	ängen	 ˈ ɛ̝ ŋː . e̞ n 	1
L05S01W00	Clownen	 k l ˈ a͡uː . n e̞ n 	1
L05S01W01	tappar	 t ² a pː . a r 	1
L05S01W02	en	 ˈ ɛ̝ nː 	0
L05S01W03	ballong	 b a . l ˈ ɔ ŋː 	1
L05S02W00	Pappa	 p ² a pː . a 	1
L05S02W01	byggde	 b ² ʏ ɡː . d e̞ 	1
L05S02W02	kojor	 k ² ɔ ʝː . ʊ r 	1
L05S02W03	med	 m ˈ eː 	0
L05S02W04	oss	 ˈ ɔ sː 	1
L05S03W00	Den	 d ˈ ɛ̝ nː 	0
L05S03W01	stora	 s t ² uː . r a 	1
L05S03W02	svarta	 s v ² a ʈː . a 	1
L05S03W03	hästen	 h ˈ ɛ̝ sː . t e̞ n 	1
L05S03W04	frös	 f r ˈ øː s 	1
L05S04W00	Flickan	 f l ² ɪ kː . a n 	1
L05S04W01	valde	 v ² ɑː l . d e̞ 	1
L05S04W02	mellan	 m ² ɛ̝ lː . a n 	1
L05S04W03	tre	 t r ˈ eː 	1
L05S04W04	par	 p ˈ ɑː r 	0
L05S04W05	jeans	 ʝ ˈ iː n s 	1
L05S05W00	Chefen	 ɧ ˈ eː . f e̞ n 	1
L05S05W01	hittade	 h ² ɪ tː . a . d e̞ 	1
L05S05W02	en	 ˈ ɛ̝ nː 	0
L05S05W03	nyckel	 n ² ʏ kː . e̞ l 	1
L05S06W00	Pennan	 p ² ɛ̝ nː . a n 	1
L05S06W01	ligger	 l ² ɪ ɡː . e̞ r 	1
L05S06W02	på	 p ˈ oː 	0
L05S06W03	skrivbordet	 s k r ² iː v . b ˌ uː . ɖ e̞ t 	1
L05S07W00	Sovrumsdörren	 s ² oː v . r ɵ m s . d ˌ ø̞ rː . e̞ n 	1
L05S07W01	var	 v ˈ ɑː r 	0
L05S07W02	målad	 m ² oː . l a d 	1
L05S07W03	i	 ˈ iː 	0
L05S07W04	rött	 r ˈ ø̞ tː 	1
L05S08W00	Hon	 h ˈ ʊ nː 	1
L05S08W01	satte	 s ² a tː . e̞ 	1
L05S08W02	sig	 s ˈ ɛ̝ ʝː 	1
L05S08W03	vid	 v ˈ iː d 	0
L05S08W04	elden	 ˈ ɛ̝ lː . d e̞ n 	1
L05S09W00	Dagisbarnen	 d ² ɑː . ɡ ɪ s . b ˌ ɑː . ɳ e̞ n 	1
L05S09W01	gick	 ʝ ˈ ɪ kː 	1
L05S09W02	till	 t ˈ ɪ lː 	0
L05S09W03	lekparken	 l ² eː k . p ˌ a rː . k e̞ n 	1
L06S00W00	Den	 d ˈ ɛ̝ nː 	0
L06S00W01	gröna	 ɡ r ² øː . n a 	1
L06S00W02	hinken	 h ˈ ɪ ŋː . k e̞ n 	1
L06S00W03	står	 s t ˈ oː r 	1
L06S00W04	på	 p ˈ oː 	0
L06S00W05	marken	 m ˈ a rː . k e̞ n 	1
L06S01W00	Golvet	 ɡ ˈ ɔ lː . v e̞ t 	1
L06S01W01	täcktes	 t ² ɛ̝ kː . t e̞ s 	1
L06S01W02	av	 ˈ ɑː v 	0
L06S01W03	en	 ˈ ɛ̝ nː 	0
L06S01W04	vit	 v ˈ iː t 	1
L06S01W05	matta	 m ² a tː . a 	1
L06S02W00	Soppan	 s ² ɔ pː . a n 	1
L06S02W01	sjöd	 ɧ ˈ øː d 	1
L06S02W02	i	 ˈ iː 	0
L06S02W03	kastrullen	 k a . s t r ˈ ɵ lː . e̞ n 	1
L06S03W00	Pappa	 p ² a pː . a 	1
L06S03W01	ska	 s k ˈ ɑː 	0
L06S03W02	laga	 l ² ɑː . ɡ a 	1
L06S03W03	min	 m ˈ ɪ nː 	0
L06S03W04	fåtölj	 f ɔ . t ˈ ø̞ lː ʝ 	1
L06S04W00	Bagaren	 b ² ɑː . ɡ a . r e̞ n 	1
L06S04W01	knäppte	 k n ² ɛ̝ pː . t e̞ 	1
L06S04W02	sin	 s ˈ ɪ nː 	0
L06S04W03	stora	 s t ² uː . r a 	1
L06S04W04	rock	 r ˈ ɔ kː 	1
L06S05W00	Båten	 b ˈ oː . t e̞ n 	1
L06S05W01	hade	 h ² a dː . e̞ 	0
L06S05W02	två	 t v ˈ oː 	1
L06S05W03	blå	 b l ˈ oː 	1
L06S05W04	segel	 s ˈ eː . ɡ e̞ l 	1
L06S06W00	Tjuven	 ɕ ˈ ʉː . v e̞ n 	1
L06S06W01	halkade	 h ² a lː . k a . d e̞ 	1
L06S06W02	i	 ˈ iː 	0
L06S06W03	leran	 l ² eː . r a n 	1
L06S07W00	Morfar	 m ² ʊ rː . f ˌ a rː 	1
L06S07W01	provade	 p r ² uː . v a . d e̞ 	1
L06S07W02	för	 f ˈ øː r 	0
L06S07W03	stora	 s t ² uː . r a 	1
L06S07W04	skor	 s k ˈ uː r 	1
L06S08W00	De	 d ˈ ɔ mː 	0
L06S08W01	gula	 ɡ ² ʉː . l a 	1
L06S08W02	glasögonen	 ɡ l ² ɑː s . ˌ øː . ɡ ɔ . n e̞ n 	1
L06S08W03	är	 ˈ ɛː 	0
L06S08W04	fina	 f ² iː . n a 	1
L06S09W00	Busschauffören	 b ² ɵ sː . ɧ ɔ . f ˌ øː . r e̞ n 	1
L06S09W01	äter	 ˈ ɛː . t e̞ r 	1
L06S09W02	kex	 k ˈ ɛ̝ kː s 	1
L07S00W00	Doktorn	 d ˈ ɔ kː . t ɔ ɳ 	1
L07S00W01	duschade	 d ² ɵ ʂː . a . d e̞ 	1
L07S00W02	på	 p ˈ oː 	0
L07S00W03	kvällen	 k v ˈ ɛ̝ lː . e̞ n 	1
L07S01W00	Fotbollen	 f ² uː t . b ˌ ɔ lː . e̞ n 	1
L07S01W01	försvann	 f ø̞ . ʂ v ˈ a nː 	1
L07S01W02	bakom	 b ² ɑː . k ɔ m 	1
L07S01W03	huset	 h ˈ ʉː . s e̞ t 	1
L07S02W00	Flickan	 f l ² ɪ kː . a n 	1
L07S02W01	svalde	 s v ² ɑː l . d e̞ 	1
L07S02W02	ett	 ˈ ɛ̝ tː 	0
L07S02W03	tuggummi	 t ² ɵ ɡː . ˌ ɵ mː . ɪ 	1
L07S03W00	Farbrorn	 f ² a rː . b r ˌ ʊ ɳː 	1
L07S03W01	svettades	 s v ² ɛ̝ tː . a . d e̞ s 	1
L07S03W02	när	 n ˈ ɛː r 	0
L07S03W03	han	 h ˈ a nː 	0
L07S03W04	sprang	 s p r ˈ a ŋː 	1
L07S04W00	Läraren	 l ² ɛː . r a . r e̞ n 	1
L07S04W01	snubblade	 s n ² ɵ bː . l a . d e̞ 	1
L07S04W02	i	 ˈ iː 	0
L07S04W03	trappan	 t r ² a pː . a n 	1
L07S05W00	I	 ˈ iː 	0
L07S05W01	källaren	 ɕ ² ɛ̝ lː . a . r e̞ n 	1
L07S05W02	stod	 s t ˈ uː d 	1
L07S05W03	en	 ˈ ɛ̝ nː 	0
L07S05W04	blå	 b l ˈ oː 	1
L07S05W05	byrå	 b ² yː . r o 	1
L07S06W00	Mannen	 m ˈ a nː . e̞ n 	1
L07S06W01	kramar	 k r ² ɑː . m a r 	1
L07S06W02	sina	 s ² iː . n a 	0
L07S06W03	söner	 s ² øː . n e̞ r 	1
L07S07W00	Grusvägen	 ɡ r ² ʉː s . v ˌ ɛː . ɡ e̞ n 	1
L07S07W01	leder	 l ˈ eː . d e̞ r 	1
L07S07W02	till	 t ˈ ɪ lː 	1
L07S07W03	ett	 ˈ ɛ̝ tː 	0
L07S07W04	rött	 r ˈ ø̞ tː 	1
L07S07W05	hus	 h ˈ ʉː s 	1
L07S08W00	Pojkarna	 p ² ɔ ʝː . k a . ɳ a 	1
L07S08W01	sjöng	 ɧ ˈ ø̞ ŋː 	1
L07S08W02	vackert	 v ˈ a kː . e̞ ʈ 	1
L07S08W03	igår	 ɪ . ɡ ˈ oː r 	1
L07S09W00	Mannen	 m ˈ a nː . e̞ n 	1
L07S09W01	skar	 s k ˈ ɑː r 	1
L07S09W02	sig	 s ˈ ɛ̝ ʝː 	0
L07S09W03	i	 ˈ iː 	0
L07S09W04	pekfingret	 p ² eː k . f ˌ ɪ ŋː . r e̞ t 	1
L08S00W00	Min	 m ˈ ɪ nː 	0
L08S00W01	syster	 s ² ʏ sː . t e̞ r 	1
L08S00W02	fyller	 f ˈ ʏ lː . e̞ r 	1
L08S00W03	snart	 s n ˈ ɑː ʈ 	1
L08S00W04	tjugofyra	 ɕ ʉ . f ² yː . r a 	1
L08S01W00	Barnvakten	 b ² ɑː ɳ . v ˌ a kː . t e̞ n 	1
L08S01W01	kom	 k ˈ ɔ mː 	1
L08S01W02	klockan	 k l ² ɔ kː . a n 	1
L08S01W03	tio	 t ² iː . ʊ 	1
L08S02W00	Grannens	 ɡ r ² a nː . e̞ n s 	1
L08S02W01	pojke	 p ² ɔ ʝː . k e̞ 	1
L08S02W02	har	 h ˈ ɑː r 	0
L08S02W03	svart	 s v ˈ a ʈː 	1
L08S02W04	hår	 h ˈ oː r 	1
L08S03W00	En	 ˈ ɛ̝ nː 	0
L08S03W01	blå	 b l ˈ oː 	1
L08S03W02	duk	 d ˈ ʉː k 	1
L08S03W03	låg	 l ˈ oː ɡ 	0
L08S03W04	på	 p ˈ oː 	1
L08S03W05	pianot	 p ɪ . ˈ ɑː . n ʊ t 	1
L08S04W00	Golfspelaren	 ɡ ² ɔ lː f . s p ˌ eː . l a . r e̞ n 	1
L08S04W01	skadade	 s k ² ɑː . d a . d e̞ 	1
L08S04W02	axeln	 ˈ a kː . s e̞ l n 	1
L08S05W00	Lillebror	 l ² ɪ lː . e̞ . b r ˌ uː r 	1
L08S05W01	försov	 f ø̞ . ʂ ˈ oː v 	1
L08S05W02	sig	 s ˈ ɛ̝ ʝː 	0
L08S05W03	i	 ˈ iː 	0
L08S05W04	morse	 m ² ɔ ʂː . e̞ 	1
L08S06W00	Killarna	 k ² ɪ lː . a . ɳ a 	1
L08S06W01	retades	 r ² eː . t a . d e̞ s 	1
L08S06W02	med	 m ˈ eː 	0
L08S06W03	fröken	 f r ˈ øː . k e̞ n 	1
L08S07W00	Tuppen	 t ˈ ɵ pː . e̞ n 	1
L08S07W01	står	 s t ˈ oː r 	1
L08S07W02	mitt	 m ˈ ɪ tː 	1
L08S07W03	på	 p ˈ oː 	0
L08S07W04	vägen	 v ˈ ɛː . ɡ e̞ n 	1
L08S08W00	Mattan	 m ² a tː . a n 	1
L08S08W01	i	 ˈ iː 	0
L08S08W02	köket	 ɕ ˈ øː . k e̞ t 	1
L08S08W03	är	 ˈ ɛː 	0
L08S08W04	handvävd	 h ² a nː d . v ˌ ɛː v d 	1
L08S09W00	Mannen	 m ˈ a nː . e̞ n 	1
L08S09W01	planterade	 p l a n . t ˈ eː . r a . d e̞ 	1
L08S09W02	rädisor	 r ² ɛ̝ dː . ɪ . s ʊ r 	1
L09S00W00	Kocken	 k ˈ ɔ kː . e̞ n 	1
L09S00W01	skaffade	 s k ² a fː . a . d e̞ 	1
L09S00W02	glasögon	 ɡ l ² ɑː s . ˌ øː . ɡ ɔ n 	1
L09S01W00	Hon	 h ˈ ʊ nː 	1
L09S01W01	målar	 m ² oː . l a r 	1
L09S01W02	hjärtat	 ʝ ² ɛ̝ ʈː . a t 	1
L09S01W03	blått	 b l ˈ ɔ tː 	1
L09S02W00	Pojkarna	 p ² ɔ ʝː . k a . ɳ a 	1
L09S02W01	lekte	 l ² eː k . t e̞ 	1
L09S02W02	i	 ˈ iː 	0
L09S02W03	parken	 p ˈ a rː . k e̞ n 	1
L09S03W00	Det	 d ˈ ɛː 	0
L09S03W01	står	 s t ˈ oː r 	1
L09S03W02	tjugo	 ɕ ² ʉː . ɡ ʊ 	1
L09S03W03	bänkar	 b ² ɛ̝ ŋː . k a r 	1
L09S03W04	längs	 l ˈ ɛ̝ ŋː s 	0
L09S03W05	kajen	 k ˈ a ʝː . e̞ n 	1
L09S04W00	Svärmor	 s v ² ɛː r . m ˌ uː r 	1
L09S04W01	bjöd	 b ʝ ˈ øː d 	1
L09S04W02	på	 p ˈ oː 	0
L09S04W03	middag	 m ˈ ɪ dː . a 	1
L09S04W04	igår	 ɪ . ɡ ˈ oː r 	1
L09S05W00	Gräset	 ɡ r ˈ ɛː . s e̞ t 	1
L09S05W01	var	 v ˈ ɑː 	0
L09S05W02	vitt	 v ˈ ɪ tː 	1
L09S05W03	av	 ˈ ɑː v 	0
L09S05W04	frost	 f r ˈ ɔ sː t 	1
L09S06W00	Mannen	 m ˈ a nː . e̞ n 	1
L09S06W01	slog	 s l ˈ uː ɡ 	1
L09S06W02	sönder	 s ˈ ø̞ nː . d e̞ r 	1
L09S06W03	en	 ˈ ɛ̝ nː 	0
L09S06W04	tand	 t ˈ a nː d 	1
L09S07W00	Grannen	 ɡ r ² a nː . e̞ n 	1
L09S07W01	låste	 l ² oː . s t e̞ 	1
L09S07W02	sin	 s ˈ ɪ nː 	1
L09S07W03	cykel	 s ˈ ʏ kː . e̞ l 	1
L09S08W00	Smöret	 s m ˈ øː . r e̞ t 	1
L09S08W01	smälter	 s m ˈ ɛ̝ lː . t e̞ r 	1
L09S08W02	i	 ˈ iː 	0
L09S08W03	stekpannan	 s t ² eː k . p ˌ a nː . a n 	1
L09S09W00	Han	 h ˈ a nː 	1
L09S09W01	förlorade	 f ø̞ . ɭ ˈ uː . r a . d e̞ 	1
L09S09W02	partiet	 p a . ʈ ˈ iː . e̞ t 	1
L10S00W00	Tanten	 t ˈ a nː . t e̞ n 	1
L10S00W01	rullade	 r ² ɵ lː . a . d e̞ 	1
L10S00W02	bollen	 b ˈ ɔ lː . e̞ n 	1
L10S01W00	Skivan	 ɧ ² iː . v a n 	1
L10S01W01	har	 h ˈ ɑː r 	0
L10S01W02	ett	 ˈ ɛ̝ tː 	0
L10S01W03	rött	 r ˈ ø̞ tː 	1
L10S01W04	fodral	 f ʊ . d r ˈ ɑː l 	1
L10S02W00	Mamma	 m ² a mː . a 	1
L10S02W01	skickar	 ɧ ² ɪ kː . a r 	1
L10S02W02	fjorton	 f ʝ ² uː . ʈ ɔ n 	1
